Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Support Democrat art,1974,4.5,Sci-Fi,Renee Williams,106,Korean,442.35,King-Sloan,Arthur Orr,Christopher Howell,Aruba,277577,71.23,True
Sell field rule risk,2017,7.3,Horror,Dale Estrada,126,Hindi,163.93,"Ortiz, Gonzalez and Henderson",Wayne Washington,Kendra Hanson,South Georgia and the South Sandwich Islands,529210,206.39,True
Important before,1987,7.3,Fantasy,Evan Mckee,130,English,491.43,Williams-Lindsey,Zachary Douglas,Scott Hamilton,Malta,327384,100.39,False
Service visit summer candidate,1985,9.3,Drama,Seth Jimenez,149,Spanish,200.96,Little and Sons,Rachel Beltran,Tracy Velasquez,Chile,124772,220.01,True
Represent floor,1972,5.0,Action,Connie Graham,108,Korean,111.5,Callahan Ltd,Christine Shaw,Mary Grant,Sao Tome and Principe,492492,35.48,False
Prove,1983,8.5,Action,Charles Coleman,124,Mandarin,702.91,Nicholson-Knox,Jesse Coleman,Tina Moore,Guatemala,20090,238.92,False
Road,1995,5.3,Action,Paula Ray,178,Mandarin,529.49,Lawson Group,Jessica Peters,Timothy Campbell,Andorra,779367,62.11,False
Director field,1978,3.8,Romance,Ashley Roberson,85,Hindi,117.33,Mora-Gray,Jeremy Bell,James Wilson,Cyprus,840777,29.82,True
Treatment natural,1973,3.7,Romance,Darren Terry,173,Japanese,193.85,"Nash, Campbell and Boyd",Bailey Pope,Karen Johnson,Northern Mariana Islands,612128,191.84,False
Sign per Mrs,1972,4.4,Horror,Priscilla Davis,99,Japanese,950.38,Lopez PLC,Jerome Small,Lori Ochoa,France,872809,71.46,True
Natural major unit,1973,8.2,Horror,Darren Terry,178,French,598.52,"Armstrong, Smith and Hoover",Mario Peterson,Jose Hernandez III,Iceland,860973,143.68,False
Law southern answer,1976,9.7,Fantasy,Miguel Adkins,115,Japanese,986.51,"Clark, Burns and Weiss",Steven Smith,Paula Wood,Mongolia,574287,253.93,True
National mission discussion,1975,7.5,Horror,Tamara Barber,167,Japanese,20.34,Jackson-Lutz,Rachel Green,Eduardo Vaughn,Anguilla,843880,108.19,True
Business future,1978,1.5,Fantasy,Zachary Castro,139,Mandarin,606.34,Smith-Mendoza,Jackson Castillo,Raymond Robinson,Chad,535379,270.31,False
Such interest front left,2005,9.4,Action,Cory Smith,168,French,263.38,Brooks Group,Connie Meza,Jeffrey Paul,Monaco,958765,158.48,True
Career manager,1994,1.2,Comedy,Randall Alvarez,122,Korean,6.03,Fernandez-Mitchell,James Hill,Michael Thomas,San Marino,44239,111.83,True
Until north political,2012,2.2,Mystery,Nathaniel Owens,129,German,269.13,Moore-Carrillo,Charles Martinez,Monica Howard,Pakistan,351277,248.23,True
Top indicate,1994,7.8,Thriller,Ms. Kimberly Andrews,100,English,839.92,Farmer-Bryant,Scott Bell MD,Jamie Drake,Sierra Leone,956236,207.06,True
Since guy,2024,6.0,Thriller,Christine Thompson,97,German,265.57,"Contreras, Kim and Rich",Crystal Garcia,Tommy Alexander,Slovakia (Slovak Republic),174449,124.84,True
Officer design,1997,6.2,Comedy,Anthony Lopez,158,English,494.27,Bautista-Arnold,Brandon White,David Fisher,Belarus,81978,265.96,True
Choice ball trial executive,1975,7.5,Drama,Cheryl Keller,169,English,48.79,Rhodes-Blackburn,David Boyd,Tanya Cannon,Swaziland,990561,253.86,False
Start south as,2019,9.5,Animation,Christine Thomas,127,Mandarin,325.32,Adams Inc,Christopher Martin,Melissa Clark,Andorra,587835,53.23,True
Despite bed language,1986,9.0,Action,Russell Palmer,135,English,983.06,Gay Inc,Margaret Burns,Heather Brown,Uruguay,73716,234.32,False
Suddenly fund,2001,4.3,Thriller,Joseph Russell,89,German,773.25,Hoffman-Miller,Patricia Mendoza,Larry Johnson,Eritrea,681617,167.48,False
This think mean,1998,2.1,Horror,Cory Smith,146,English,92.63,Jacobson-Rodriguez,Nicole Nixon,Roy Jenkins,Angola,471224,48.72,True
International yeah,2023,5.4,Horror,Benjamin Holt,171,Mandarin,381.86,Lopez-Lam,Kevin Williams,Tiffany Thompson,Gibraltar,32938,247.92,False
Office laugh,2021,6.1,Sci-Fi,Hannah Carpenter,168,English,399.41,Sharp Group,Amy Collins,Brian Blanchard,Saint Kitts and Nevis,106782,30.08,True
Various marriage mouth,1994,9.4,Drama,Jorge Diaz,164,English,564.36,Andrews-Ortega,Morgan Pitts,Adam Conner,Azerbaijan,969669,191.54,False
Mean interest,1993,2.5,Fantasy,David Sharp,93,Japanese,373.63,Crawford and Sons,Jennifer Rodriguez,Roger Schultz,Suriname,968649,196.03,True
Course class adult interesting,2000,7.1,Animation,Angela Silva,177,Mandarin,839.4,"Thomas, Carlson and Garcia",Melissa Medina,James Burton,Brunei Darussalam,19569,103.25,True
Expert center,2011,8.6,Comedy,Charles Richards,141,Japanese,424.13,"Dixon, Greer and Melton",Steven Davis,Nicholas Stewart,Saint Martin,174299,214.11,True
Five start investment,1994,7.8,Horror,Priscilla Davis,175,French,352.78,Williams-Young,Jean Bowman,William Lopez,Turkmenistan,817082,124.58,True
Apply world,2011,7.9,Animation,Dennis Potter,164,Spanish,852.49,Bennett LLC,Bridget Gibbs,Lisa Dickerson,Svalbard & Jan Mayen Islands,42447,239.49,True
Easy recent son,1997,5.7,Comedy,Dale Estrada,83,French,27.95,Russell-Baker,Brandi Warren,Dalton Sanders,Saint Pierre and Miquelon,789448,215.71,False
Town student moment,1979,3.8,Comedy,Paula Ray,84,German,654.63,Jordan Ltd,Courtney Lawson,William Owens,Equatorial Guinea,368650,13.69,False
Change else,2019,2.7,Comedy,Carl Reyes,144,English,646.09,Hill-Sims,Amy Mathis,Max Norman,Monaco,975420,163.26,True
Rate off,2023,5.8,Comedy,Brian Coleman,99,Mandarin,362.58,Lee-Johnson,Daniel Wright,Laurie Wong,Haiti,886805,156.02,True
Out opportunity gun,2006,1.4,Mystery,Dale Moore,87,Japanese,400.12,Turner PLC,Bianca Colon,Jay Miller,Tunisia,200802,27.42,True
Indicate sell learn,2008,5.1,Thriller,Donald Stephens,84,Japanese,376.66,"Wright, Ryan and Dixon",Zachary Gonzalez,Kenneth Edwards,Somalia,958960,224.34,True
We paper challenge,1998,9.2,Action,Mark Powers,94,Hindi,588.61,Lang LLC,Barbara Campbell,Ronald Richardson,Guatemala,545019,36.4,True
Age apply,1998,6.3,Horror,Michael Smith,163,Hindi,377.59,Campos Inc,Carrie Price,Jacqueline Cline,Honduras,113996,137.67,True
Doctor trip,1998,8.7,Thriller,Gabrielle Oneill,86,Korean,266.22,"Anderson, Patel and Clark",Cody Boyle,Michael Zimmerman,Iran,118111,22.39,True
Item,1998,6.3,Sci-Fi,Christian Hayes,144,English,876.04,Reyes Ltd,Randall Gray,Douglas Schultz,South Africa,307163,71.05,False
Bill rise,2012,5.6,Comedy,Russell Palmer,144,German,466.08,"Lopez, Ramirez and Lawson",Richard Williams,Stephanie Owens,Tuvalu,499567,30.0,False
Interesting one,1998,5.6,Thriller,Emily Allen,174,Mandarin,551.8,"Lopez, Collins and Hoffman",Chloe Miller,Jennifer Garcia,Kazakhstan,190355,54.88,True
Dark everyone yeah school,2024,4.7,Action,Thomas Hernandez,113,German,923.77,"Rice, Davidson and Neal",David Sanford,William Kelly,Guernsey,179030,138.24,False
Hospital hand,2010,9.2,Romance,Robert Cook,142,English,670.52,Koch Group,David Suarez,Melissa Jennings,Dominican Republic,82276,175.92,False
Price form,2011,8.9,Fantasy,Ashley Clements,175,Korean,866.85,Johnson Inc,Katherine Lopez,Julian Ford,Barbados,839575,271.91,True
Fund production discussion size,1991,7.1,Drama,Thomas Hernandez,97,French,87.51,Collins Inc,David Crosby,April Larson,Kenya,973391,183.12,True
Current decision offer,1971,3.1,Mystery,Brittney Stewart,84,French,516.92,Thomas Ltd,Amy Strickland,Matthew Adkins,Turkmenistan,652860,67.76,True
Certain argue wife,1983,9.7,Fantasy,Thomas Hernandez,165,Korean,103.87,Powell-Norton,Marcus Thomas,Donald Robinson,Slovenia,712507,274.56,False
Fund of,2010,9.3,Drama,Tina Simon,138,German,765.32,"Johnson, Johnson and Warren",Nicholas Henry,Michelle Sullivan,Antarctica (the territory South of 60 deg S),881445,279.71,False
Tend deep,1983,3.6,Mystery,Kathy Mcdaniel,180,French,778.55,Butler Group,Amy Lewis,Derek Olson,United States Minor Outlying Islands,454139,54.29,True
House dream,2008,4.7,Action,Thomas Smith,91,Hindi,409.23,Carter-Morris,Crystal Thomas,Robin Lewis,Slovenia,262824,9.75,True
Forget beyond,1978,3.0,Sci-Fi,Devon Higgins,173,German,877.87,Perez-Chen,Donald Wilson,Jeremy Lopez,Macao,677075,147.82,False
Resource others,1980,8.4,Animation,Daniel Carter,146,Japanese,107.1,Lang-Garcia,Brandon Day,Donald Drake,Cambodia,384905,74.01,True
Trade painting,1988,7.0,Drama,Joyce Brown,128,Spanish,772.21,"Cain, Merritt and Lane",Brian Perez,Sophia Mullen MD,Bouvet Island (Bouvetoya),457236,197.73,False
Again pressure,2009,2.8,Animation,Benjamin Holt,152,Mandarin,848.58,Hall-Joseph,Vanessa Nguyen,Kevin Hopkins,Bermuda,543537,278.18,False
Notice,2017,1.7,Drama,Elizabeth Cervantes,163,Japanese,216.37,"Hull, Reynolds and Garcia",Felicia Manning,Harry Cruz,Philippines,998229,88.49,True
Hold section,2018,3.0,Action,Ryan Alvarez,172,Hindi,456.11,"Solis, Clarke and Farley",Sally Booker,Jessica Sherman,Colombia,943564,109.5,True
Type sea kid,2010,8.6,Horror,Anna Freeman,145,German,663.69,Fowler Group,Mrs. Annette Allen,Laurie Young,Poland,698798,33.47,True
Serious allow name,1986,9.1,Comedy,Sarah Duncan,126,German,230.29,Moore-Reyes,Yvonne Garcia,Robert Long,Gambia,259354,184.26,False
Stay seek firm,1989,1.2,Fantasy,Joseph Bailey,132,French,480.91,Hardin Group,Gregg Barnes,Mark Mcbride,Malawi,40447,85.75,True
Quality company,1984,1.6,Fantasy,Darren Terry,175,English,628.12,Gray-Steele,Jeanne Hooper,Brittany Rich,Ecuador,255486,288.39,True
She song,1995,7.0,Comedy,Miguel Adkins,178,German,796.48,"Jones, Anderson and Fields",Melanie Rivera,Joseph Mcneil,Sweden,917777,241.53,False
Will Republican old,1986,7.1,Romance,Michael Gonzales,122,English,302.62,Smith-Adams,Erika Garcia,Jamie Murphy,Norfolk Island,815250,278.78,False
Be simply,1980,2.7,Comedy,Jeffery Anderson,110,Hindi,62.41,Bonilla-Bell,Sean Hawkins,Michael Hall,Hungary,215950,115.2,True
See machine business,1986,4.0,Action,Sharon Hopkins,179,English,927.23,Edwards Group,James Mcmillan,Jonathan Thomas,Angola,244419,44.47,False
Government,1987,2.3,Comedy,Joseph Chapman,157,Hindi,970.22,Johnson-Torres,Angela Mayo,Nancy Sanders,Togo,502836,33.86,True
Friend close maintain money,2011,9.2,Romance,Michelle Brown,152,Mandarin,375.53,"Barnes, Smith and Davis",Morgan Lawson,Rebecca Hall,Vanuatu,894358,290.13,False
Night sign practice parent,1978,3.8,Mystery,Kathy Mcdaniel,171,Korean,547.05,"Williams, Woodard and Martin",Tracy Howell,Desiree James,Azerbaijan,536308,241.59,True
Whose buy,2006,9.4,Romance,William Smith,110,German,148.94,Torres-Henson,Frank Butler DDS,Amy Tran,Tanzania,125835,96.63,True
Compare clearly house,2018,9.0,Animation,Carrie Moreno,115,French,140.33,Taylor PLC,Christopher Gutierrez,Jeffrey Ruiz,Indonesia,11293,96.72,False
Foreign produce,1975,4.0,Thriller,Gregory Woodard,161,Hindi,707.77,Benton LLC,Zachary Cuevas,Marissa Fisher,Korea,195728,3.16,True
Likely our,2008,1.7,Sci-Fi,Charles Coleman,169,Japanese,243.97,"Lee, Hale and Davis",Lisa Doyle,Lauren Mitchell,Vanuatu,420479,43.82,False
But simple,1987,7.9,Animation,Dr. Tammy Moore,147,English,82.22,Gibbs Inc,Mrs. Carol Mclean,Carrie Davis,Maldives,570862,240.1,False
Mr risk from,2005,3.7,Drama,Cody Wolf,100,Spanish,848.04,"Howard, Adams and Williams",Heidi Herrera,John Black,Korea,174988,102.89,True
Pay site,2013,9.6,Drama,Anna Freeman,146,Korean,175.67,Wright-Wagner,Karen Lee,Jacob Sullivan,San Marino,785134,160.9,False
Indicate statement,1994,4.2,Sci-Fi,Zachary Evans,133,German,369.59,White Ltd,Kyle Scott,Carrie Stewart,Jersey,908386,211.32,True
Participant responsibility,2000,2.9,Animation,Aaron Howard,97,French,20.41,Jones and Sons,Chelsea Weeks,Rebecca Vasquez,Ecuador,586249,160.53,True
Its listen at,1976,1.7,Romance,Jorge Diaz,176,German,213.82,Brown and Sons,Timothy Nguyen,Linda Holmes,Cocos (Keeling) Islands,128102,187.43,True
Marriage medical,1979,1.4,Romance,Erica Randall,119,English,369.71,Green-Ortiz,Kayla Salazar,Erica Porter,Moldova,240842,275.95,False
Mind point,2011,5.4,Thriller,Michael Hill,164,German,557.22,Browning PLC,Kimberly Miller,Nicole Anderson,Ecuador,385635,270.06,True
Life picture herself,1976,5.6,Mystery,Jermaine Mcdowell,109,French,197.01,Burns and Sons,Bethany Wyatt,Kathryn Franklin,Cook Islands,394541,246.45,True
Crime system treat,2014,5.1,Romance,Anthony Gomez,126,English,787.8,"Hampton, Woods and Leon",William Green,Amy Daniel,American Samoa,420569,71.93,False
Rule daughter teacher,2015,4.1,Action,Angel Montgomery,103,German,71.33,Franco-Mcknight,Maria White DVM,Larry Long,Tokelau,530298,291.05,True
Do later cut,1995,3.6,Horror,Michael Gonzales,109,German,591.42,Neal Ltd,Hannah Erickson,Michelle Zamora,Romania,358132,187.88,False
Land person whatever,2007,6.8,Sci-Fi,Christian Hayes,170,Japanese,331.38,"Harris, Perry and Brown",Gavin Quinn,Jennifer Cruz,France,707928,40.59,False
Very tonight,1980,9.2,Comedy,Michael Hernandez,115,Spanish,690.4,Rodriguez-Campos,Todd Miller,Todd Wagner,Panama,480204,286.35,True
Success section hundred,2021,8.9,Sci-Fi,Daniel Walker,106,Korean,626.77,"Williams, Potts and Donaldson",Darius Johnson,Laura Smith,Oman,482743,175.76,True
Near baby able,1972,1.2,Mystery,Hannah Carpenter,84,Mandarin,262.89,"Lopez, Ramsey and Hernandez",Harold Walker,Christopher Crawford,Haiti,800897,135.98,False
Media us should,2024,9.1,Thriller,Zachary Castro,173,Mandarin,837.27,Willis Inc,Victor Cummings,Sarah Wilson,Brunei Darussalam,393673,235.23,False
Drive less particularly,1991,8.3,Romance,Darren Terry,126,Korean,237.06,"Franklin, Miller and Rivas",Christine Thompson,Daniel Warner,Anguilla,788810,153.08,False
Television first,2010,7.3,Action,Anna Freeman,109,Korean,526.93,Lucas-Ashley,Whitney Harrison,Joel Rangel,Ireland,169135,228.77,False
Week environmental should,1981,9.0,Drama,Hannah Carpenter,153,Mandarin,550.55,Chase-Bailey,Glenn Campbell,Karen Farmer,Sri Lanka,547471,229.65,False
Matter environmental remain,1999,4.2,Sci-Fi,Michael Hernandez,128,Korean,6.62,Reid-Murphy,Monique Haley,Matthew Rivera,Heard Island and McDonald Islands,116249,267.5,True
Data city,1995,7.6,Romance,Thomas Silva,102,Mandarin,471.46,Patrick-Mcmillan,Benjamin Aguirre,Joseph Fisher,Spain,2288,171.45,True
Player,2012,1.5,Comedy,Mark Powers,145,French,42.3,Black-Santana,Gabriela Nguyen,Bradley Stanley,Ireland,485459,112.18,False
Politics prove,2003,2.4,Action,Daniel Carter,158,Japanese,602.97,"Olson, Brown and Shaw",Jennifer Johnson,Christine Houston,Moldova,841128,112.0,False
Involve reach miss,1977,2.2,Thriller,Randall Alvarez,125,Spanish,251.69,Martinez Ltd,Robert Nelson,Wendy Thompson,Aruba,501446,269.57,False
Create size character especially,1992,5.7,Thriller,Nicole Woods,162,Hindi,740.82,Kennedy Group,Matthew Scott,Todd Ford,Malta,557267,89.69,True
College arrive Republican,2023,6.2,Horror,Cody Wolf,97,German,392.22,Martin and Sons,Pamela Mccarthy,Joseph Buckley,Sudan,836183,56.9,False
Avoid book,1994,4.6,Sci-Fi,Diana Allen,175,Korean,309.65,Jones-Taylor,Anthony Walker,Jesse Wilson,Norway,790922,81.0,True
Care son,1977,3.7,Comedy,Denise Vargas,89,Spanish,712.2,Walters Group,Daniel Clark,Debra Campbell,Germany,108647,243.94,True
Paper amount trial direction,2021,6.5,Mystery,Cheryl Keller,173,Hindi,407.53,"Armstrong, Ingram and Warren",Robert Moore,Colleen Duncan,Guernsey,158794,36.22,False
Light strong property who,2005,8.0,Sci-Fi,Zachary Evans,173,Korean,285.8,Perez-Johnson,Justin Schneider,Taylor Hoffman,Germany,481972,121.75,False
Join right,1998,3.8,Thriller,Catherine Williams,139,French,683.22,Ramos Inc,Kelly Jordan,Jose Miller,Colombia,319287,267.63,False
Majority course,1973,8.0,Mystery,Benjamin Holt,105,English,217.61,Dunn-Miranda,Bryan Miller,Pamela Wade,Eritrea,636706,108.38,False
Response,1988,4.9,Animation,Alison Mccoy,147,English,137.43,Whitaker-Vazquez,Daniel Shah,Robert French,Lithuania,91605,54.71,True
International whatever,1993,3.4,Action,Emily Doyle,116,Korean,58.79,Jones-Collins,Catherine Shields,Monica Velez,Macao,459444,121.17,True
Test read lot,2022,8.7,Sci-Fi,Lindsay Torres,117,Korean,966.74,Sandoval Inc,Charles Castro,David Walsh,Slovenia,540044,253.35,False
Sign people religious,1984,2.2,Mystery,Daniel Compton,175,Mandarin,229.17,Allen-Jones,Amanda Wright,Ray Hanson,Croatia,254399,45.11,True
Major,2005,4.5,Comedy,Christine Thompson,137,Spanish,940.88,Lambert-Green,Claudia Jones,Jennifer White,United Arab Emirates,934960,284.1,True
Yes he say,2016,6.1,Romance,Shannon Armstrong,142,Korean,380.37,"Hayes, Patterson and Zhang",David Schmitt,Laura Peterson,British Virgin Islands,780211,282.32,False
Language score control,2013,1.3,Drama,Chad Brooks,90,Korean,722.88,Torres-Shah,Matthew Stevenson,Steven Frazier,Zimbabwe,146151,268.85,True
Answer sound,2018,4.7,Animation,Mr. Anthony Owen,135,Spanish,179.45,"Howe, Jackson and Gonzalez",William Wolfe,Jordan Miller,Venezuela,255408,101.17,True
However debate,1993,4.9,Drama,Thomas Smith,178,Hindi,117.79,Greer-Ferguson,Madison Johnson,Caleb Adams,Tuvalu,404427,77.93,True
Should history,1983,1.3,Comedy,Denise Larsen,147,Japanese,579.27,Wu-Clark,Victoria Barrera,Edgar Ruiz,Luxembourg,106176,251.72,True
Year,1987,1.8,Romance,Christine Thomas,116,German,276.7,Abbott LLC,Courtney Murphy,Jimmy Hernandez,Togo,852586,202.52,True
Director unit,2023,6.4,Mystery,Eric Daniel,126,Mandarin,768.88,Rodgers-Phillips,Michael Johnston,Brian Smith,Lithuania,344747,57.65,True
Camera,1985,6.3,Fantasy,Rebecca Clark,157,German,407.98,Roy-Galvan,Jacqueline Warren,Brianna Gonzales,Nauru,991944,20.31,False
Imagine million,1987,1.0,Horror,Dylan Torres,175,Korean,524.44,"Harris, Garcia and Mitchell",Lisa Black,Brandon Dougherty,Nauru,352639,246.85,False
Able none budget,2001,1.1,Horror,Diana Allen,160,French,932.92,Blanchard-Williams,Brandon Matthews,Kathleen Davis,Benin,629301,194.1,False
Whose marriage,2013,9.5,Mystery,Natalie Cunningham,82,English,968.74,"Martinez, Rodriguez and Singleton",Lauren Taylor,Alicia Stevenson,Djibouti,811957,261.51,False
Pressure front,1976,6.1,Romance,Christine Williams,180,Spanish,393.07,"Castaneda, Rodriguez and Davis",Brandon Hill,Timothy Medina,Trinidad and Tobago,545247,152.96,False
Cut office,1992,6.2,Thriller,Thomas Nelson MD,173,German,390.49,Short LLC,Francisco Boyd,Jason Alvarez,Hungary,335305,168.76,False
Store,1985,3.3,Sci-Fi,Monica Jones,124,English,941.11,Patton-Torres,Joanne Williams,Kenneth Hutchinson,Trinidad and Tobago,803153,63.32,False
Drug,1996,5.0,Fantasy,Denise Vargas,99,Hindi,62.26,Zuniga and Sons,Nathan Christian,Helen Edwards,New Caledonia,298109,74.21,True
Beat customer,2010,3.4,Sci-Fi,Matthew Dalton,157,French,224.63,Reyes-Chen,Tina Jacobs,Melvin George,Estonia,743989,83.48,False
Through how organization,1985,7.7,Romance,Joseph Chapman,93,Hindi,237.6,Barnes and Sons,Eric Brown,James Martinez,Cyprus,103977,41.98,False
Keep continue sign,2021,2.9,Comedy,Hector Anderson,122,Japanese,85.62,Knight LLC,Jessica Long,Sharon Hart,Niger,722144,229.83,True
Weight long old,2005,6.0,Action,Gabrielle Oneill,111,Mandarin,164.78,Baker-Davis,Kerri Davis,Leslie White,Vietnam,775168,251.5,False
Despite player same,1996,9.5,Thriller,James Conley,80,Spanish,133.3,Avery Ltd,Michael Campbell,Mary Perry,Singapore,70719,197.68,False
Begin ago long,2018,7.5,Animation,Karen Martinez MD,130,Hindi,115.12,Thomas-Hart,Erin Mendoza,Logan Johnson,Gabon,169657,114.28,True
Wind military surface,1991,6.7,Sci-Fi,Natalie Cunningham,87,Spanish,142.04,"Santiago, Myers and Simon",Maria Ruiz,Deborah Harper,Luxembourg,932536,159.62,True
Meeting director,1980,5.3,Drama,Rachel Mueller,132,English,702.57,"Palmer, Jones and Ramsey",Evan Austin,Dylan Richardson,Kuwait,387904,235.9,False
Pattern both reflect,2024,9.8,Action,Jessica Thompson,80,German,365.71,Murphy-Romero,Allen Perry,Michael Hamilton,Chile,24368,217.06,False
Though when,2000,3.5,Drama,Jennifer Mejia,108,German,145.68,"Atkinson, Thomas and Gould",Jamie Gutierrez,Alison Nelson,Turkmenistan,895868,123.15,True
Tax good believe,2019,7.9,Animation,Angela Silva,100,Mandarin,285.84,Mills-Curtis,Angela Thompson,Brian Evans,Guam,406533,39.56,True
Push water war,1970,7.0,Fantasy,Elizabeth Cervantes,83,Japanese,289.4,"Shaw, Williams and Rodriguez",Erica Miller,Jennifer Briggs,Russian Federation,299256,89.29,False
Care back,1990,4.3,Mystery,Kristen Byrd,164,Korean,293.49,"Carlson, Harris and Paul",Jennifer Glass,Carol White,Nicaragua,28019,80.77,False
Whom certain,2023,4.3,Mystery,Brooke Blankenship,109,Hindi,874.85,"Brown, Gross and Little",Benjamin Young,Jerome Davidson,Mongolia,973574,229.26,True
Popular buy,1982,6.6,Comedy,Dale Moore,93,Spanish,434.27,"Graham, Martin and Farmer",Joseph Morrison,Jeff Merritt,Sierra Leone,37406,77.8,True
Laugh control,2001,2.2,Comedy,Monica Jones,110,Hindi,34.17,Burns-Williams,Stephanie Jones,Tyler Lee,Lesotho,937956,21.74,True
Kind because likely,1999,6.1,Horror,Emily Doyle,115,German,634.54,Dixon and Sons,Tracy Huynh,Michelle Roman,Antigua and Barbuda,343585,219.98,False
Process than,2024,2.9,Drama,Karen Martinez MD,157,English,499.63,Smith LLC,Rebecca Miles,Chelsea Austin,Armenia,372026,256.6,False
Especially you,1973,6.8,Romance,Adam Hodge,107,Japanese,908.66,Nolan-Robinson,Alexander Ortiz,Alexandra Woods,Panama,601610,2.29,False
Say fine smile,2013,1.2,Thriller,Yesenia Leon,128,Spanish,371.93,Calhoun-Jones,Mark Chavez,Melissa Young,American Samoa,209112,50.0,False
Institution seven,1988,1.9,Romance,Paula Ray,156,Hindi,691.8,"White, Schmitt and Williams",Johnny Snyder,Theresa Gross,Cyprus,340538,255.34,True
Skin check six,2004,2.6,Animation,Shannon Armstrong,101,English,733.96,Davis Inc,Gabriela Gonzalez,Linda Smith,Tanzania,313137,9.35,False
Raise defense,2021,1.5,Mystery,Seth Jimenez,105,Spanish,23.71,Reyes-Chandler,Priscilla Bell,Jonathan Ferguson,Macedonia,146735,44.15,True
Very magazine,1987,8.7,Comedy,Dennis Potter,131,English,760.4,York Group,Stacey Mclaughlin,David Howard,Guernsey,183542,252.34,True
Economic support,1970,5.3,Thriller,Teresa Gates,126,Japanese,180.92,Hicks Ltd,Elizabeth Henderson,Jeffrey Sanders,Togo,766929,59.19,True
Positive American fear show,1977,6.0,Drama,Mark Newman,81,English,75.75,"George, Frost and Morales",Samantha Gibson,Jessica May,Cayman Islands,99425,47.0,True
Election policy walk number,1994,8.7,Fantasy,Yolanda Torres,132,Japanese,423.11,Whitney-Stanley,Elizabeth Cooper,Steven Gilmore,Peru,51387,121.71,False
Own successful,2002,4.4,Romance,Daniel Carter,165,Japanese,295.58,Carson-Willis,Cathy Norton,Timothy Ellison,Vietnam,595914,79.44,True
Number,1977,1.2,Thriller,Melissa Fisher,95,English,548.01,"Mckay, Sims and Thomas",Kenneth Burns,Christina Schmidt,India,355348,264.81,True
Position various include,1979,3.7,Sci-Fi,Anthony Lopez,165,Japanese,936.27,"Fitzpatrick, Murray and Holmes",Megan Moran,Cathy Bridges,Liechtenstein,782443,175.45,False
Performance yes guy,2013,2.0,Horror,Dennis Butler,156,Japanese,407.71,Mccoy-Hanson,Jeremy Buchanan,Matthew French,Cocos (Keeling) Islands,128310,25.54,True
Reduce avoid,2005,4.6,Horror,Julie Wright,176,Korean,756.26,Thompson Ltd,Lisa Haynes,Stacy Richardson,Saint Lucia,116981,222.85,True
People,1997,2.4,Fantasy,Wayne Melendez,174,Korean,965.97,"Johnson, Sanchez and Gardner",Robert Smith,Jill Lee,Saint Vincent and the Grenadines,252346,102.51,True
Our seven,1985,5.2,Fantasy,Christine Thompson,82,Korean,503.35,Moran Inc,Tara Rice,William Knapp,Saudi Arabia,525137,109.88,False
Issue base,2023,8.1,Thriller,Matthew Underwood,157,English,219.55,Rose-Farmer,Daniel Benson,Kevin Walker,Germany,255729,61.2,True
Watch as thing,1988,9.0,Action,Ashley Roberson,164,Japanese,681.73,Walker-Graham,Tiffany Hall,Joshua Vasquez,Saudi Arabia,961074,16.09,False
Sing,1983,8.0,Animation,Steven Woodward,143,Mandarin,232.77,Smith-Ford,Amy Lyons,Timothy Moyer,Martinique,492283,5.13,False
End former you,2000,7.8,Romance,Jason Molina,137,Mandarin,463.18,Cowan-Juarez,Alicia Vasquez,Tiffany Mathews,United States Minor Outlying Islands,97053,226.53,False
Manage toward she,1992,8.5,Horror,Jeffery Anderson,153,German,177.25,"Lopez, Brooks and Hawkins",Kenneth Hall,Alicia Lopez,Czech Republic,294953,283.24,True
Very question wind increase,2018,3.2,Romance,Victoria Williams,133,Hindi,565.54,"Smith, Lopez and Callahan",John Zimmerman,Lisa Howard,Bosnia and Herzegovina,877935,29.9,False
Government force,1976,4.1,Mystery,Joseph Ramirez,167,French,587.92,Thomas-Brown,Jeremy Jones,Samuel Jones,Monaco,470972,286.23,True
Five light really,1977,3.3,Drama,Jennifer May,100,German,251.81,Odom LLC,Madeline Hudson,Donna Garcia,New Zealand,507734,61.35,False
Pm development describe,1977,3.1,Horror,Denise Vargas,177,German,922.41,Oconnor-Richardson,Michael Carroll,Mr. Garrett Lynn,Zambia,393707,230.17,True
Skill,2011,7.0,Comedy,Catherine Williams,158,German,290.77,Miller-Estrada,Charles Sellers,Brooke Allen,Dominica,662206,112.6,True
Heart,1977,9.2,Drama,Thomas Smith,121,French,607.11,Wood PLC,Anne Williams,Michael Parker,Gambia,533003,116.25,False
Prevent people across,2004,8.4,Comedy,Robert Blankenship,156,Mandarin,711.26,"Jones, Neal and Grant",Michael Snyder DDS,Julie Jordan,Saint Kitts and Nevis,282941,134.0,False
Environmental war,1994,9.5,Romance,James Moran,156,German,816.75,Smith Ltd,Harry Butler,Amy Soto,Central African Republic,581884,224.0,False
Mrs perform,2023,1.7,Action,Kenneth Graves,96,Korean,584.93,Warren Ltd,Amanda Johnson,Desiree Leon,Myanmar,51794,227.3,True
